star_mag,impacted_area,total_area,band,fa_x,fa_y
-2.099999999999999,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-1.899999999999999,2450645972.021501,4006634500.0000024,i,0,0.026179938779914945
-1.9999999999999991,3234355700.1250014,4006634500.0000024,r,0,0.017453292519943295
-2.099999999999999,3325170077.7020016,4006634500.0000024,r,0,0
-2.099999999999999,2963150617.4545016,4006634500.0000024,i,0,0
-2.3999999999999995,2225705497.922501,4006634500.0000024,y,0,0
-2.099999999999999,3512644512.5915017,4006634500.0000024,r,0,0.02181661564992912
-2.1999999999999993,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-1.799999999999999,1657160055.7380006,4006634500.0000024,z,0,0.026179938779914945
-1.9999999999999991,3397762281.5730023,4006634500.0000024,g,0,0.026179938779914945
-1.9999999999999991,3490335571.695502,4006634500.0000024,r,0,0.026179938779914945
-2.1999999999999993,3673583007.1875024,4006634500.0000024,g,0,0
-1.9999999999999991,2935637058.3430014,4006634500.0000024,z,0,0
-1.9999999999999991,3305481475.7690015,4006634500.0000024,r,0,0.013089969389957472
-1.9999999999999991,3353504996.8860016,4006634500.0000024,r,0,0.008726646259971648
-1.799999999999999,2450645972.021501,4006634500.0000024,i,0,0.026179938779914945
-2.6999999999999997,3726049885.9650016,4006634500.0000024,u,0,0
-1.899999999999999,3213665439.5670013,4006634500.0000024,r,0,0.017453292519943295
-1.6999999999999988,366438778.1010002,4006634500.0000024,z,0,0.026179938779914945
-1.9999999999999991,3325170077.7020016,4006634500.0000024,r,0,0
-1.9999999999999991,2885662306.2245016,4006634500.0000024,i,0,0
-1.899999999999999,3397762281.5730023,4006634500.0000024,g,0,0.026179938779914945
-1.899999999999999,3368345571.0740023,4006634500.0000024,r,0,0.026179938779914945
-1.9999999999999991,3512644512.5915017,4006634500.0000024,r,0,0.02181661564992912
-2.099999999999999,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-1.899999999999999,2648064873.7400017,4006634500.0000024,z,0,0
-2.5999999999999996,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-2.099999999999999,3579755640.4665017,4006634500.0000024,g,0,0
-1.899999999999999,3305481475.7690015,4006634500.0000024,r,0,0.013089969389957472
-1.6999999999999988,2407638757.298501,4006634500.0000024,i,0,0.026179938779914945
-2.2999999999999994,2143549457.5000012,4006634500.0000024,y,0,0
-1.899999999999999,3353504996.8860016,4006634500.0000024,r,0,0.008726646259971648
-1.799999999999999,3213665439.5670013,4006634500.0000024,r,0,0.017453292519943295
-1.5999999999999988,366438778.1010002,4006634500.0000024,z,0,0.026179938779914945
-1.799999999999999,3397762281.5730023,4006634500.0000024,g,0,0.026179938779914945
